學年度,學院,系所,招生管道,報名人數,錄取人數,報到人數,註冊人數,休學人數,平均成績,平均修課學分
2021,人文與社會科學學院,應用英文系,分發入學,108,17,15,14,0,73.0,17.9
2021,人文與社會科學學院,應用英文系,申請入學,295,30,27,26,1,71.7,17.4
2021,人文與社會科學學院,應用英文系,繁星推薦,34,4,3,3,0,73.7,17.9
2021,人文與社會科學學院,文化事業發展系,分發入學,88,13,12,11,0,69.3,17.4
2021,人文與社會科學學院,文化事業發展系,申請入學,192,26,23,22,0,73.3,17.0
2021,人文與社會科學學院,文化事業發展系,繁星推薦,36,4,3,3,0,72.1,17.2
2021,工程學院,分子科學與工程系,分發入學,100,16,14,13,0,69.9,17.0
2021,工程學院,分子科學與工程系,申請入學,259,36,34,32,1,69.0,17.5
2021,工程學院,分子科學與工程系,繁星推薦,37,5,4,4,0,72.0,17.9
2021,工程學院,化學工程與生物科技系,分發入學,150,19,17,16,0,73.7,17.8
2021,工程學院,化學工程與生物科技系,申請入學,448,47,44,43,1,71.1,17.6
2021,工程學院,化學工程與生物科技系,繁星推薦,30,5,5,5,0,73.9,17.3
2021,工程學院,土木工程系,分發入學,209,21,20,20,0,73.4,17.5
2021,工程學院,土木工程系,申請入學,513,54,52,50,1,74.0,17.5
2021,工程學院,土木工程系,繁星推薦,57,7,6,6,0,70.1,17.6
2021,工程學院,材料及資源工程系,分發入學,159,16,14,13,0,73.5,16.8
2021,工程學院,材料及資源工程系,申請入學,308,36,35,34,0,71.4,17.1
2021,工程學院,材料及資源工程系,繁星推薦,24,4,4,4,0,70.7,17.8
2021,機電學院,機械工程系,分發入學,120,22,20,20,0,71.3,17.1
2021,機電學院,機械工程系,申請入學,441,45,43,41,0,75.3,17.4
2021,機電學院,機械工程系,繁星推薦,59,6,5,5,0,74.6,17.1
2021,機電學院,能源與冷凍空調工程系,分發入學,98,18,17,16,0,71.0,17.3
2021,機電學院,能源與冷凍空調工程系,申請入學,218,36,32,31,1,69.6,18.0
2021,機電學院,能源與冷凍空調工程系,繁星推薦,30,5,4,4,0,70.6,16.9
2021,機電學院,車輛工程系,分發入學,152,25,22,22,1,71.0,17.9
2021,機電學院,車輛工程系,申請入學,242,44,38,37,0,72.3,17.3
2021,機電學院,車輛工程系,繁星推薦,36,6,6,6,0,70.1,17.3
